"província","indicador","idade","sexo","área-de-residência","Unit","Date","Value"
"Cidade De Maputo","População","Total","Total","Total","Número","2017","1118378"
"Cidade De Maputo","População","Total","Total","Total","Número","2018","1120433"
"Cidade De Maputo","População","Total","Total","Total","Número","2019","1122607"
"Cidade De Maputo","População","Total","Total","Total","Número","2020","1124988"
"Cidade De Maputo","População","Total","Total","Total","Número","2021","1127565"
"Cidade De Maputo","População","Total","Total","Total","Número","2022","1130319"
"Cidade De Maputo","População","Total","Total","Total","Número","2023","1133235"
"Cidade De Maputo","População","Total","Total","Total","Número","2024","1136296"
"Cidade De Maputo","População","Total","Total","Total","Número","2025","1139476"
"Cidade De Maputo","População","Total","Total","Total","Número","2026","1142767"
"Cidade De Maputo","População","Total","Total","Total","Número","2027","1146173"
"Cidade De Maputo","População","Total","Total","Total","Número","2028","1149704"
"Cidade De Maputo","População","Total","Total","Total","Número","2029","1153359"
"Cidade De Maputo","População","Total","Total","Total","Número","2030","1157120"
"Cidade De Maputo","População","Total","Total","Total","Número","2031","1160944"
"Cidade De Maputo","População","Total","Total","Total","Número","2032","1164750"
"Cidade De Maputo","População","Total","Total","Total","Número","2033","1168571"
"Cidade De Maputo","População","Total","Total","Total","Número","2034","1172492"
"Cidade De Maputo","População","Total","Total","Total","Número","2035","1176500"
"Cidade De Maputo","População","Total","Total","Total","Número","2036","1180569"
"Cidade De Maputo","População","Total","Total","Total","Número","2037","1184645"
"Cidade De Maputo","População","Total","Total","Total","Número","2038","1188770"
"Cidade De Maputo","População","Total","Total","Total","Número","2039","1193030"
"Cidade De Maputo","População","Total","Total","Total","Número","2040","1197436"
"Cidade De Maputo","População","Total","Total","Total","Número","2041","1202003"
"Cidade De Maputo","População","Total","Total","Total","Número","2042","1206750"
"Cidade De Maputo","População","Total","Total","Total","Número","2043","1211672"
"Cidade De Maputo","População","Total","Total","Total","Número","2044","1216757"
"Cidade De Maputo","População","Total","Total","Total","Número","2045","1222019"
"Cidade De Maputo","População","Total","Total","Total","Número","2046","1227476"
"Cidade De Maputo","População","Total","Total","Total","Número","2047","1233161"
"Cidade De Maputo","População","Total","Total","Total","Número","2048","1239073"
"Cidade De Maputo","População","Total","Total","Total","Número","2049","1245200"
"Cidade De Maputo","População","Total","Total","Total","Número","2050","1251559"
"Maputo","População","Total","Total","Total","Número","2017","1964779"
"Maputo","População","Total","Total","Total","Número","2018","2047609"
"Maputo","População","Total","Total","Total","Número","2019","2131384"
"Maputo","População","Total","Total","Total","Número","2020","2216460"
"Maputo","População","Total","Total","Total","Número","2021","2302891"
"Maputo","População","Total","Total","Total","Número","2022","2390673"
"Maputo","População","Total","Total","Total","Número","2023","2479809"
"Maputo","População","Total","Total","Total","Número","2024","2570279"
"Maputo","População","Total","Total","Total","Número","2025","2662034"
"Maputo","População","Total","Total","Total","Número","2026","2755032"
"Maputo","População","Total","Total","Total","Número","2027","2849236"
"Maputo","População","Total","Total","Total","Número","2028","2944607"
"Maputo","População","Total","Total","Total","Número","2029","3041076"
"Maputo","População","Total","Total","Total","Número","2030","3138511"
"Maputo","População","Total","Total","Total","Número","2031","3236704"
"Maputo","População","Total","Total","Total","Número","2032","3335323"
"Maputo","População","Total","Total","Total","Número","2033","3434466"
"Maputo","População","Total","Total","Total","Número","2034","3534382"
"Maputo","População","Total","Total","Total","Número","2035","3634962"
"Maputo","População","Total","Total","Total","Número","2036","3736051"
"Maputo","População","Total","Total","Total","Número","2037","3837392"
"Maputo","População","Total","Total","Total","Número","2038","3939086"
"Maputo","População","Total","Total","Total","Número","2039","4041375"
"Maputo","População","Total","Total","Total","Número","2040","4144233"
"Maputo","População","Total","Total","Total","Número","2041","4247647"
"Maputo","População","Total","Total","Total","Número","2042","4351613"
"Maputo","População","Total","Total","Total","Número","2043","4456051"
"Maputo","População","Total","Total","Total","Número","2044","4560855"
"Maputo","População","Total","Total","Total","Número","2045","4665989"
"Maputo","População","Total","Total","Total","Número","2046","4771435"
"Maputo","População","Total","Total","Total","Número","2047","4877205"
"Maputo","População","Total","Total","Total","Número","2048","4983189"
"Maputo","População","Total","Total","Total","Número","2049","5089239"
"Maputo","População","Total","Total","Total","Número","2050","5195309"
"Cabo Delgado","População","Total","Total","Total","Número","2017","2316842"
"Cabo Delgado","População","Total","Total","Total","Número","2018","2385729"
"Cabo Delgado","População","Total","Total","Total","Número","2019","2455072"
"Cabo Delgado","População","Total","Total","Total","Número","2020","2525416"
"Cabo Delgado","População","Total","Total","Total","Número","2021","2597016"
"Cabo Delgado","População","Total","Total","Total","Número","2022","2670078"
"Cabo Delgado","População","Total","Total","Total","Número","2023","2744872"
"Cabo Delgado","População","Total","Total","Total","Número","2024","2821612"
"Cabo Delgado","População","Total","Total","Total","Número","2025","2900429"
"Cabo Delgado","População","Total","Total","Total","Número","2026","2981517"
"Cabo Delgado","População","Total","Total","Total","Número","2027","3065130"
"Cabo Delgado","População","Total","Total","Total","Número","2028","3151524"
"Cabo Delgado","População","Total","Total","Total","Número","2029","3240824"
"Cabo Delgado","População","Total","Total","Total","Número","2030","3332919"
"Cabo Delgado","População","Total","Total","Total","Número","2031","3427414"
"Cabo Delgado","População","Total","Total","Total","Número","2032","3523462"
"Cabo Delgado","População","Total","Total","Total","Número","2033","3621050"
"Cabo Delgado","População","Total","Total","Total","Número","2034","3720627"
"Cabo Delgado","População","Total","Total","Total","Número","2035","3821921"
"Cabo Delgado","População","Total","Total","Total","Número","2036","3924483"
"Cabo Delgado","População","Total","Total","Total","Número","2037","4027515"
"Cabo Delgado","População","Total","Total","Total","Número","2038","4130919"
"Cabo Delgado","População","Total","Total","Total","Número","2039","4235050"
"Cabo Delgado","População","Total","Total","Total","Número","2040","4339821"
"Cabo Delgado","População","Total","Total","Total","Número","2041","4445203"
"Cabo Delgado","População","Total","Total","Total","Número","2042","4551236"
"Cabo Delgado","População","Total","Total","Total","Número","2043","4657839"
"Cabo Delgado","População","Total","Total","Total","Número","2044","4764882"
"Cabo Delgado","População","Total","Total","Total","Número","2045","4872369"
"Cabo Delgado","População","Total","Total","Total","Número","2046","4980334"
"Cabo Delgado","População","Total","Total","Total","Número","2047","5088876"
"Cabo Delgado","População","Total","Total","Total","Número","2048","5197856"
"Cabo Delgado","População","Total","Total","Total","Número","2049","5307036"
"Cabo Delgado","População","Total","Total","Total","Número","2050","5416367"
"Gaza","População","Total","Total","Total","Número","2017","1420109"
"Gaza","População","Total","Total","Total","Número","2018","1428330"
"Gaza","População","Total","Total","Total","Número","2019","1436844"
"Gaza","População","Total","Total","Total","Número","2020","1445896"
"Gaza","População","Total","Total","Total","Número","2021","1455550"
"Gaza","População","Total","Total","Total","Número","2022","1465802"
"Gaza","População","Total","Total","Total","Número","2023","1476653"
"Gaza","População","Total","Total","Total","Número","2024","1488103"
"Gaza","População","Total","Total","Total","Número","2025","1500120"
"Gaza","População","Total","Total","Total","Número","2026","1512663"
"Gaza","População","Total","Total","Total","Número","2027","1525682"
"Gaza","População","Total","Total","Total","Número","2028","1539115"
"Gaza","População","Total","Total","Total","Número","2029","1552865"
"Gaza","População","Total","Total","Total","Número","2030","1566781"
"Gaza","População","Total","Total","Total","Número","2031","1580655"
"Gaza","População","Total","Total","Total","Número","2032","1594192"
"Gaza","População","Total","Total","Total","Número","2033","1607369"
"Gaza","População","Total","Total","Total","Número","2034","1620285"
"Gaza","População","Total","Total","Total","Número","2035","1632838"
"Gaza","População","Total","Total","Total","Número","2036","1644891"
"Gaza","População","Total","Total","Total","Número","2037","1656248"
"Gaza","População","Total","Total","Total","Número","2038","1666942"
"Gaza","População","Total","Total","Total","Número","2039","1677130"
"Gaza","População","Total","Total","Total","Número","2040","1686830"
"Gaza","População","Total","Total","Total","Número","2041","1696067"
"Gaza","População","Total","Total","Total","Número","2042","1704880"
"Gaza","População","Total","Total","Total","Número","2043","1713256"
"Gaza","População","Total","Total","Total","Número","2044","1721169"
"Gaza","População","Total","Total","Total","Número","2045","1728632"
"Gaza","População","Total","Total","Total","Número","2046","1735668"
"Gaza","População","Total","Total","Total","Número","2047","1742316"
"Gaza","População","Total","Total","Total","Número","2048","1748539"
"Gaza","População","Total","Total","Total","Número","2049","1754272"
"Gaza","População","Total","Total","Total","Número","2050","1759505"
"Inhambane","População","Total","Total","Total","Número","2017","1486340"
"Inhambane","População","Total","Total","Total","Número","2018","1501305"
"Inhambane","População","Total","Total","Total","Número","2019","1516442"
"Inhambane","População","Total","Total","Total","Número","2020","1531959"
"Inhambane","População","Total","Total","Total","Número","2021","1547906"
"Inhambane","População","Total","Total","Total","Número","2022","1564289"
"Inhambane","População","Total","Total","Total","Número","2023","1581114"
"Inhambane","População","Total","Total","Total","Número","2024","1598383"
"Inhambane","População","Total","Total","Total","Número","2025","1616068"
"Inhambane","População","Total","Total","Total","Número","2026","1634124"
"Inhambane","População","Total","Total","Total","Número","2027","1652488"
"Inhambane","População","Total","Total","Total","Número","2028","1671083"
"Inhambane","População","Total","Total","Total","Número","2029","1689798"
"Inhambane","População","Total","Total","Total","Número","2030","1708476"
"Inhambane","População","Total","Total","Total","Número","2031","1726908"
"Inhambane","População","Total","Total","Total","Número","2032","1744804"
"Inhambane","População","Total","Total","Total","Número","2033","1762132"
"Inhambane","População","Total","Total","Total","Número","2034","1778984"
"Inhambane","População","Total","Total","Total","Número","2035","1795263"
"Inhambane","População","Total","Total","Total","Número","2036","1810841"
"Inhambane","População","Total","Total","Total","Número","2037","1825525"
"Inhambane","População","Total","Total","Total","Número","2038","1839344"
"Inhambane","População","Total","Total","Total","Número","2039","1852447"
"Inhambane","População","Total","Total","Total","Número","2040","1864854"
"Inhambane","População","Total","Total","Total","Número","2041","1876592"
"Inhambane","População","Total","Total","Total","Número","2042","1887698"
"Inhambane","População","Total","Total","Total","Número","2043","1898164"
"Inhambane","População","Total","Total","Total","Número","2044","1907963"
"Inhambane","População","Total","Total","Total","Número","2045","1917109"
"Inhambane","População","Total","Total","Total","Número","2046","1925624"
"Inhambane","População","Total","Total","Total","Número","2047","1933549"
"Inhambane","População","Total","Total","Total","Número","2048","1940851"
"Inhambane","População","Total","Total","Total","Número","2049","1947468"
"Inhambane","População","Total","Total","Total","Número","2050","1953390"
"Manica","População","Total","Total","Total","Número","2017","1942781"
"Manica","População","Total","Total","Total","Número","2018","1998926"
"Manica","População","Total","Total","Total","Número","2019","2056037"
"Manica","População","Total","Total","Total","Número","2020","2114507"
"Manica","População","Total","Total","Total","Número","2021","2174432"
"Manica","População","Total","Total","Total","Número","2022","2235836"
"Manica","População","Total","Total","Total","Número","2023","2298753"
"Manica","População","Total","Total","Total","Número","2024","2363184"
"Manica","População","Total","Total","Total","Número","2025","2429085"
"Manica","População","Total","Total","Total","Número","2026","2496442"
"Manica","População","Total","Total","Total","Número","2027","2565279"
"Manica","População","Total","Total","Total","Número","2028","2635632"
"Manica","População","Total","Total","Total","Número","2029","2707481"
"Manica","População","Total","Total","Total","Número","2030","2780703"
"Manica","População","Total","Total","Total","Número","2031","2855038"
"Manica","População","Total","Total","Total","Número","2032","2929975"
"Manica","População","Total","Total","Total","Número","2033","3005635"
"Manica","População","Total","Total","Total","Número","2034","3082438"
"Manica","População","Total","Total","Total","Número","2035","3160275"
"Manica","População","Total","Total","Total","Número","2036","3238923"
"Manica","População","Total","Total","Total","Número","2037","3317922"
"Manica","População","Total","Total","Total","Número","2038","3397304"
"Manica","População","Total","Total","Total","Número","2039","3477369"
"Manica","População","Total","Total","Total","Número","2040","3558056"
"Manica","População","Total","Total","Total","Número","2041","3639335"
"Manica","População","Total","Total","Total","Número","2042","3721209"
"Manica","População","Total","Total","Total","Número","2043","3803583"
"Manica","População","Total","Total","Total","Número","2044","3886320"
"Manica","População","Total","Total","Total","Número","2045","3969368"
"Manica","População","Total","Total","Total","Número","2046","4052688"
"Manica","População","Total","Total","Total","Número","2047","4136283"
"Manica","População","Total","Total","Total","Número","2048","4219994"
"Manica","População","Total","Total","Total","Número","2049","4303602"
"Manica","População","Total","Total","Total","Número","2050","4387024"
"Nampula","População","Total","Total","Total","Número","2017","5750350"
"Nampula","População","Total","Total","Total","Número","2018","5891794"
"Nampula","População","Total","Total","Total","Número","2019","6036169"
"Nampula","População","Total","Total","Total","Número","2020","6183863"
"Nampula","População","Total","Total","Total","Número","2021","6335121"
"Nampula","População","Total","Total","Total","Número","2022","6490271"
"Nampula","População","Total","Total","Total","Número","2023","6649881"
"Nampula","População","Total","Total","Total","Número","2024","6814439"
"Nampula","População","Total","Total","Total","Número","2025","6984269"
"Nampula","População","Total","Total","Total","Número","2026","7159908"
"Nampula","População","Total","Total","Total","Número","2027","7342103"
"Nampula","População","Total","Total","Total","Número","2028","7531667"
"Nampula","População","Total","Total","Total","Número","2029","7729095"
"Nampula","População","Total","Total","Total","Número","2030","7934245"
"Nampula","População","Total","Total","Total","Número","2031","8146181"
"Nampula","População","Total","Total","Total","Número","2032","8362625"
"Nampula","População","Total","Total","Total","Número","2033","8583067"
"Nampula","População","Total","Total","Total","Número","2034","8808409"
"Nampula","População","Total","Total","Total","Número","2035","9038123"
"Nampula","População","Total","Total","Total","Número","2036","9271070"
"Nampula","População","Total","Total","Total","Número","2037","9504997"
"Nampula","População","Total","Total","Total","Número","2038","9739115"
"Nampula","População","Total","Total","Total","Número","2039","9973984"
"Nampula","População","Total","Total","Total","Número","2040","10209418"
"Nampula","População","Total","Total","Total","Número","2041","10445365"
"Nampula","População","Total","Total","Total","Número","2042","10681977"
"Nampula","População","Total","Total","Total","Número","2043","10919155"
"Nampula","População","Total","Total","Total","Número","2044","11156651"
"Nampula","População","Total","Total","Total","Número","2045","11394502"
"Nampula","População","Total","Total","Total","Número","2046","11632845"
"Nampula","População","Total","Total","Total","Número","2047","11872037"
"Nampula","População","Total","Total","Total","Número","2048","12111914"
"Nampula","População","Total","Total","Total","Número","2049","12351994"
"Nampula","População","Total","Total","Total","Número","2050","12592179"
"Niassa","População","Total","Total","Total","Número","2017","1808010"
"Niassa","População","Total","Total","Total","Número","2018","1870215"
"Niassa","População","Total","Total","Total","Número","2019","1933505"
"Niassa","População","Total","Total","Total","Número","2020","1998266"
"Niassa","População","Total","Total","Total","Número","2021","2064645"
"Niassa","População","Total","Total","Total","Número","2022","2132767"
"Niassa","População","Total","Total","Total","Número","2023","2202817"
"Niassa","População","Total","Total","Total","Número","2024","2274936"
"Niassa","População","Total","Total","Total","Número","2025","2349195"
"Niassa","População","Total","Total","Total","Número","2026","2425746"
"Niassa","População","Total","Total","Total","Número","2027","2504833"
"Niassa","População","Total","Total","Total","Número","2028","2586742"
"Niassa","População","Total","Total","Total","Número","2029","2671650"
"Niassa","População","Total","Total","Total","Número","2030","2759489"
"Niassa","População","Total","Total","Total","Número","2031","2849881"
"Niassa","População","Total","Total","Total","Número","2032","2941874"
"Niassa","População","Total","Total","Total","Número","2033","3035402"
"Niassa","População","Total","Total","Total","Número","2034","3131030"
"Niassa","População","Total","Total","Total","Número","2035","3228594"
"Niassa","População","Total","Total","Total","Número","2036","3327669"
"Niassa","População","Total","Total","Total","Número","2037","3427329"
"Niassa","População","Total","Total","Total","Número","2038","3527347"
"Niassa","População","Total","Total","Total","Número","2039","3628069"
"Niassa","População","Total","Total","Total","Número","2040","3729418"
"Niassa","População","Total","Total","Total","Número","2041","3831375"
"Niassa","População","Total","Total","Total","Número","2042","3934007"
"Niassa","População","Total","Total","Total","Número","2043","4037253"
"Niassa","População","Total","Total","Total","Número","2044","4140976"
"Niassa","População","Total","Total","Total","Número","2045","4245171"
"Niassa","População","Total","Total","Total","Número","2046","4349874"
"Niassa","População","Total","Total","Total","Número","2047","4455213"
"Niassa","População","Total","Total","Total","Número","2048","4561068"
"Niassa","População","Total","Total","Total","Número","2049","4667186"
"Niassa","População","Total","Total","Total","Número","2050","4773510"
"Sofala","População","Total","Total","Total","Número","2017","2255439"
"Sofala","População","Total","Total","Total","Número","2018","2321580"
"Sofala","População","Total","Total","Total","Número","2019","2388902"
"Sofala","População","Total","Total","Total","Número","2020","2457828"
"Sofala","População","Total","Total","Total","Número","2021","2528442"
"Sofala","População","Total","Total","Total","Número","2022","2600754"
"Sofala","População","Total","Total","Total","Número","2023","2674787"
"Sofala","População","Total","Total","Total","Número","2024","2750530"
"Sofala","População","Total","Total","Total","Número","2025","2827922"
"Sofala","População","Total","Total","Total","Número","2026","2906937"
"Sofala","População","Total","Total","Total","Número","2027","2987593"
"Sofala","População","Total","Total","Total","Número","2028","3069927"
"Sofala","População","Total","Total","Total","Número","2029","3153904"
"Sofala","População","Total","Total","Total","Número","2030","3239372"
"Sofala","População","Total","Total","Total","Número","2031","3326025"
"Sofala","População","Total","Total","Total","Número","2032","3413279"
"Sofala","População","Total","Total","Total","Número","2033","3501252"
"Sofala","População","Total","Total","Total","Número","2034","3590397"
"Sofala","População","Total","Total","Total","Número","2035","3680578"
"Sofala","População","Total","Total","Total","Número","2036","3771540"
"Sofala","População","Total","Total","Total","Número","2037","3862776"
"Sofala","População","Total","Total","Total","Número","2038","3954338"
"Sofala","População","Total","Total","Total","Número","2039","4046574"
"Sofala","População","Total","Total","Total","Número","2040","4139427"
"Sofala","População","Total","Total","Total","Número","2041","4232873"
"Sofala","População","Total","Total","Total","Número","2042","4326924"
"Sofala","População","Total","Total","Total","Número","2043","4421478"
"Sofala","População","Total","Total","Total","Número","2044","4516386"
"Sofala","População","Total","Total","Total","Número","2045","4611598"
"Sofala","População","Total","Total","Total","Número","2046","4707087"
"Sofala","População","Total","Total","Total","Número","2047","4802878"
"Sofala","População","Total","Total","Total","Número","2048","4898812"
"Sofala","População","Total","Total","Total","Número","2049","4994660"
"Sofala","População","Total","Total","Total","Número","2050","5090348"
"Tete","População","Total","Total","Total","Número","2017","2644650"
"Tete","População","Total","Total","Total","Número","2018","2728186"
"Tete","População","Total","Total","Total","Número","2019","2813229"
"Tete","População","Total","Total","Total","Número","2020","2900213"
"Tete","População","Total","Total","Total","Número","2021","2989258"
"Tete","População","Total","Total","Total","Número","2022","3080446"
"Tete","População","Total","Total","Total","Número","2023","3173917"
"Tete","População","Total","Total","Total","Número","2024","3269765"
"Tete","População","Total","Total","Total","Número","2025","3368004"
"Tete","População","Total","Total","Total","Número","2026","3468712"
"Tete","População","Total","Total","Total","Número","2027","3572041"
"Tete","População","Total","Total","Total","Número","2028","3678181"
"Tete","População","Total","Total","Total","Número","2029","3787222"
"Tete","População","Total","Total","Total","Número","2030","3899022"
"Tete","População","Total","Total","Total","Número","2031","4013122"
"Tete","População","Total","Total","Total","Número","2032","4128483"
"Tete","População","Total","Total","Total","Número","2033","4245057"
"Tete","População","Total","Total","Total","Número","2034","4363465"
"Tete","População","Total","Total","Total","Número","2035","4483534"
"Tete","População","Total","Total","Total","Número","2036","4604826"
"Tete","População","Total","Total","Total","Número","2037","4726390"
"Tete","População","Total","Total","Total","Número","2038","4848061"
"Tete","População","Total","Total","Total","Número","2039","4970269"
"Tete","População","Total","Total","Total","Número","2040","5092953"
"Tete","População","Total","Total","Total","Número","2041","5216100"
"Tete","População","Total","Total","Total","Número","2042","5339773"
"Tete","População","Total","Total","Total","Número","2043","5463873"
"Tete","População","Total","Total","Total","Número","2044","5588215"
"Tete","População","Total","Total","Total","Número","2045","5712766"
"Tete","População","Total","Total","Total","Número","2046","5837553"
"Tete","População","Total","Total","Total","Número","2047","5962720"
"Tete","População","Total","Total","Total","Número","2048","6088136"
"Tete","População","Total","Total","Total","Número","2049","6213524"
"Tete","População","Total","Total","Total","Número","2050","6338813"
"Zambézia","População","Total","Total","Total","Número","2017","5156587"
"Zambézia","População","Total","Total","Total","Número","2018","5291613"
"Zambézia","População","Total","Total","Total","Número","2019","5428110"
"Zambézia","População","Total","Total","Total","Número","2020","5567252"
"Zambézia","População","Total","Total","Total","Número","2021","5709418"
"Zambézia","População","Total","Total","Total","Número","2022","5854843"
"Zambézia","População","Total","Total","Total","Número","2023","6003909"
"Zambézia","População","Total","Total","Total","Número","2024","6156887"
"Zambézia","População","Total","Total","Total","Número","2025","6313864"
"Zambézia","População","Total","Total","Total","Número","2026","6475125"
"Zambézia","População","Total","Total","Total","Número","2027","6641171"
"Zambézia","População","Total","Total","Total","Número","2028","6812606"
"Zambézia","População","Total","Total","Total","Número","2029","6989777"
"Zambézia","População","Total","Total","Total","Número","2030","7172464"
"Zambézia","População","Total","Total","Total","Número","2031","7359703"
"Zambézia","População","Total","Total","Total","Número","2032","7549191"
"Zambézia","População","Total","Total","Total","Número","2033","7741016"
"Zambézia","População","Total","Total","Total","Número","2034","7936733"
"Zambézia","População","Total","Total","Total","Número","2035","8135904"
"Zambézia","População","Total","Total","Total","Número","2036","8337502"
"Zambézia","População","Total","Total","Total","Número","2037","8539331"
"Zambézia","População","Total","Total","Total","Número","2038","8741085"
"Zambézia","População","Total","Total","Total","Número","2039","8943783"
"Zambézia","População","Total","Total","Total","Número","2040","9147212"
"Zambézia","População","Total","Total","Total","Número","2041","9351290"
"Zambézia","População","Total","Total","Total","Número","2042","9556119"
"Zambézia","População","Total","Total","Total","Número","2043","9761439"
"Zambézia","População","Total","Total","Total","Número","2044","9966820"
"Zambézia","População","Total","Total","Total","Número","2045","10172202"
"Zambézia","População","Total","Total","Total","Número","2046","10377650"
"Zambézia","População","Total","Total","Total","Número","2047","10583473"
"Zambézia","População","Total","Total","Total","Número","2048","10789346"
"Zambézia","População","Total","Total","Total","Número","2049","10994646"
"Zambézia","População","Total","Total","Total","Número","2050","11199262"
